member_id,target_note,midi,target_hz,predicted_length_in,predicted_width_in,predicted_thick_in,node_1_in,node_2_in,material,k_constant,scale_label,notes
GLK-Csharp6,C#6,85,1108.731,6.789,1.000,0.250,1.522,5.267,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-D6,D6,86,1174.659,6.596,1.000,0.250,1.479,5.117,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-Dsharp6,D#6,87,1244.508,6.408,1.000,0.250,1.437,4.972,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-E6,E6,88,1318.510,6.226,1.000,0.250,1.396,4.830,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-F6,F6,89,1396.913,6.049,1.000,0.250,1.356,4.693,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-Fsharp6,F#6,90,1479.978,5.876,1.000,0.250,1.318,4.559,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-G6,G6,91,1567.982,5.709,1.000,0.250,1.280,4.429,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-Gsharp6,G#6,92,1661.219,5.547,1.000,0.250,1.244,4.303,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-A6,A6,93,1760.000,5.389,1.000,0.250,1.208,4.181,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-Asharp6,A#6,94,1864.655,5.235,1.000,0.250,1.174,4.062,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-B6,B6,95,1975.533,5.086,1.000,0.250,1.140,3.946,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-C7,C7,96,2093.005,4.941,1.000,0.250,1.108,3.834,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-PENT-C5,C5,72,523.251,9.883,1.000,0.250,2.216,7.667,6061-T6 Aluminum,204431,C major pentatonic art-fair,"Art-fair C major pentatonic (workbook rows 94-103, alt scale row 122); same bar stock and K as chromatic block; 10-bar set."
GLK-PENT-D5,D5,74,587.330,9.328,1.000,0.250,2.091,7.237,6061-T6 Aluminum,204431,C major pentatonic art-fair,"Art-fair C major pentatonic (workbook rows 94-103, alt scale row 122); same bar stock and K as chromatic block; 10-bar set."
GLK-PENT-E5,E5,76,659.255,8.805,1.000,0.250,1.974,6.831,6061-T6 Aluminum,204431,C major pentatonic art-fair,"Art-fair C major pentatonic (workbook rows 94-103, alt scale row 122); same bar stock and K as chromatic block; 10-bar set."
GLK-PENT-G5,G5,79,783.991,8.074,1.000,0.250,1.810,6.264,6061-T6 Aluminum,204431,C major pentatonic art-fair,"Art-fair C major pentatonic (workbook rows 94-103, alt scale row 122); same bar stock and K as chromatic block; 10-bar set."
GLK-PENT-A5,A5,81,880.000,7.621,1.000,0.250,1.709,5.912,6061-T6 Aluminum,204431,C major pentatonic art-fair,"Art-fair C major pentatonic (workbook rows 94-103, alt scale row 122); same bar stock and K as chromatic block; 10-bar set."
GLK-PENT-C6,C6,84,1046.502,6.988,1.000,0.250,1.567,5.422,6061-T6 Aluminum,204431,C major pentatonic art-fair,"Art-fair C major pentatonic (workbook rows 94-103, alt scale row 122); same bar stock and K as chromatic block; 10-bar set."
GLK-PENT-D6,D6,86,1174.659,6.596,1.000,0.250,1.479,5.117,6061-T6 Aluminum,204431,C major pentatonic art-fair,"Art-fair C major pentatonic (workbook rows 94-103, alt scale row 122); same bar stock and K as chromatic block; 10-bar set."
GLK-PENT-E6,E6,88,1318.510,6.226,1.000,0.250,1.396,4.830,6061-T6 Aluminum,204431,C major pentatonic art-fair,"Art-fair C major pentatonic (workbook rows 94-103, alt scale row 122); same bar stock and K as chromatic block; 10-bar set."
GLK-PENT-G6,G6,91,1567.982,5.709,1.000,0.250,1.280,4.429,6061-T6 Aluminum,204431,C major pentatonic art-fair,"Art-fair C major pentatonic (workbook rows 94-103, alt scale row 122); same bar stock and K as chromatic block; 10-bar set."
GLK-PENT-A6,A6,93,1760.000,5.389,1.000,0.250,1.208,4.181,6061-T6 Aluminum,204431,C major pentatonic art-fair,"Art-fair C major pentatonic (workbook rows 94-103, alt scale row 122); same bar stock and K as chromatic block; 10-bar set."
